transect_id,year,position,annual_change,time_since_first,epr,change_type
0,1994,0.0477818263024291,0.0,0,0.0,Stable
0,2004,0.0477818263024291,0.0,10,0.0,Stable
0,2014,0.0477818263024291,0.0,20,0.0,Stable
0,2024,0.0477818263024291,0.0,30,0.0,Stable
1,1994,1.0568497378655808,0.0,0,0.0,Stable
1,2004,1.0568497378655808,0.0,10,0.0,Stable
1,2014,1.0568497378655808,0.0,20,0.0,Stable
1,2024,1.0568497378655808,0.0,30,0.0,Stable
2,1994,0.0,0.0,0,0.0,Stable
2,2004,0.0,0.0,10,0.0,Stable
2,2014,0.0,0.0,20,0.0,Stable
2,2024,0.0,0.0,30,0.0,Stable
3,1994,0.0489635154108433,0.0,0,0.0,Stable
3,2004,0.0489635154108433,0.0,10,0.0,Stable
3,2014,0.0489635154108433,0.0,20,0.0,Stable
3,2024,0.0489635154108433,0.0,30,0.0,Stable
4,1994,0.0942374107092062,0.0,0,0.0,Stable
4,2004,0.0942374107092062,0.0,10,0.0,Stable
4,2014,0.0942374107092062,0.0,20,0.0,Stable
4,2024,0.0942374107092062,0.0,30,0.0,Stable
5,1994,0.3618944868353199,0.0,0,0.0,Stable
5,2004,0.3618944868353199,0.0,10,0.0,Stable
5,2014,0.3618944868353199,0.0,20,0.0,Stable
5,2024,0.3618944868353199,0.0,30,0.0,Stable
6,1994,0.3464405489533745,0.0,0,0.0,Stable
6,2004,0.3464405489533745,0.0,10,0.0,Stable
6,2014,0.3464405489533745,0.0,20,0.0,Stable
6,2024,0.3464405489533745,0.0,30,0.0,Stable
7,1994,29.822469805383854,0.0,0,0.0,Stable
7,2004,29.822469805383854,0.0,10,0.0,Stable
7,2014,29.822469805383854,0.0,20,0.0,Stable
7,2024,29.822469805383854,0.0,30,0.0,Stable
8,1994,22.047844585188653,0.0,0,0.0,Stable
8,2004,22.047844585188653,0.0,10,0.0,Stable
8,2014,22.047844585188653,0.0,20,0.0,Stable
8,2024,22.047844585188653,0.0,30,0.0,Stable
9,1994,1.0536868443300451,0.0,0,0.0,Stable
9,2004,1.0536868443300451,0.0,10,0.0,Stable
9,2014,1.0536868443300451,0.0,20,0.0,Stable
9,2024,1.0536868443300451,0.0,30,0.0,Stable
10,1994,28.63806261739047,0.0,0,0.0,Stable
10,2004,28.63806261739047,0.0,10,0.0,Stable
10,2014,28.63806261739047,0.0,20,0.0,Stable
10,2024,28.63806261739047,0.0,30,0.0,Stable
11,1994,49.04807028025981,0.0,0,0.0,Stable
11,2004,49.04807028025981,0.0,10,0.0,Stable
11,2014,49.04807028025981,0.0,20,0.0,Stable
11,2024,49.04807028025981,0.0,30,0.0,Stable
12,1994,0.1193450543353522,0.0,0,0.0,Stable
12,2004,0.1193450543353522,0.0,10,0.0,Stable
12,2014,0.1193450543353522,0.0,20,0.0,Stable
12,2024,0.1193450543353522,0.0,30,0.0,Stable
13,1994,0.2194359465098499,0.0,0,0.0,Stable
13,2004,0.2194359465098499,0.0,10,0.0,Stable
13,2014,0.2194359465098499,0.0,20,0.0,Stable
13,2024,0.2194359465098499,0.0,30,0.0,Stable
14,1994,0.7038455486977039,0.0,0,0.0,Stable
14,2004,0.7038455486977039,0.0,10,0.0,Stable
14,2014,0.7038455486977039,0.0,20,0.0,Stable
14,2024,0.7038455486977039,0.0,30,0.0,Stable
15,1994,0.373348885818715,0.0,0,0.0,Stable
15,2004,0.373348885818715,0.0,10,0.0,Stable
15,2014,0.373348885818715,0.0,20,0.0,Stable
15,2024,0.373348885818715,0.0,30,0.0,Stable
16,1994,103.45977130679032,0.0,0,0.0,Stable
16,2004,103.45977130679032,0.0,10,0.0,Stable
16,2014,103.45977130679032,0.0,20,0.0,Stable
16,2024,103.45977130679032,0.0,30,0.0,Stable
17,1994,119.34915381524756,0.0,0,0.0,Stable
17,2004,119.34915381524756,0.0,10,0.0,Stable
17,2014,119.34915381524756,0.0,20,0.0,Stable
17,2024,119.34915381524756,0.0,30,0.0,Stable
18,1994,112.28978632884454,0.0,0,0.0,Stable
18,2004,112.28978632884454,0.0,10,0.0,Stable
18,2014,112.28978632884454,0.0,20,0.0,Stable
18,2024,112.28978632884454,0.0,30,0.0,Stable
19,1994,0.4420049364059679,0.0,0,0.0,Stable
19,2004,0.4420049364059679,0.0,10,0.0,Stable
19,2014,0.4420049364059679,0.0,20,0.0,Stable
19,2024,0.4420049364059679,0.0,30,0.0,Stable
20,1994,50.2405320056933,0.0,0,0.0,Stable
20,2004,50.2405320056933,0.0,10,0.0,Stable
20,2014,50.2405320056933,0.0,20,0.0,Stable
20,2024,50.2405320056933,0.0,30,0.0,Stable
21,1994,21.828823402938163,0.0,0,0.0,Stable
21,2004,21.828823402938163,0.0,10,0.0,Stable
21,2014,21.828823402938163,0.0,20,0.0,Stable
21,2024,21.828823402938163,0.0,30,0.0,Stable
22,1994,62.40263408776588,0.0,0,0.0,Stable
22,2004,62.40263408776588,0.0,10,0.0,Stable
22,2014,62.40263408776588,0.0,20,0.0,Stable
22,2024,62.40263408776588,0.0,30,0.0,Stable
23,1994,55.0661731196526,0.0,0,0.0,Stable
23,2004,55.0661731196526,0.0,10,0.0,Stable
23,2014,55.0661731196526,0.0,20,0.0,Stable
23,2024,55.0661731196526,0.0,30,0.0,Stable
24,1994,46.25799668325588,0.0,0,0.0,Stable
24,2004,46.25799668325588,0.0,10,0.0,Stable
24,2014,46.25799668325588,0.0,20,0.0,Stable
24,2024,46.25799668325588,0.0,30,0.0,Stable
25,1994,80.55519503381291,0.0,0,0.0,Stable
25,2004,80.55519503381291,0.0,10,0.0,Stable
25,2014,80.55519503381291,0.0,20,0.0,Stable
25,2024,80.55519503381291,0.0,30,0.0,Stable
26,1994,0.0922218812313413,0.0,0,0.0,Stable
26,2004,0.0922218812313413,0.0,10,0.0,Stable
26,2014,0.0922218812313413,0.0,20,0.0,Stable
26,2024,0.0922218812313413,0.0,30,0.0,Stable
27,1994,44.3852635824427,0.0,0,0.0,Stable
27,2004,44.3852635824427,0.0,10,0.0,Stable
27,2014,44.3852635824427,0.0,20,0.0,Stable
27,2024,44.3852635824427,0.0,30,0.0,Stable
28,1994,64.330029813648,0.0,0,0.0,Stable
28,2004,64.330029813648,0.0,10,0.0,Stable
28,2014,64.330029813648,0.0,20,0.0,Stable
28,2024,64.330029813648,0.0,30,0.0,Stable
29,1994,53.21311335979191,0.0,0,0.0,Stable
29,2004,53.21311335979191,0.0,10,0.0,Stable
29,2014,53.21311335979191,0.0,20,0.0,Stable
29,2024,53.21311335979191,0.0,30,0.0,Stable
30,1994,0.6293007395310586,0.0,0,0.0,Stable
30,2004,0.6293007395310586,0.0,10,0.0,Stable
30,2014,0.6293007395310586,0.0,20,0.0,Stable
30,2024,0.6293007395310586,0.0,30,0.0,Stable
31,1994,1.3056352124880308,0.0,0,0.0,Stable
31,2004,1.3056352124880308,0.0,10,0.0,Stable
