file,shoreline_id,num_points,path
mombasa_1994_RGB_0000_0000_fake_B.png,0,514,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0000_shoreline_0.txt
mombasa_1994_RGB_0000_0256_fake_B.png,0,41,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0256_shoreline_0.txt
mombasa_1994_RGB_0000_0256_fake_B.png,1,62,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0256_shoreline_1.txt
mombasa_1994_RGB_0000_0256_fake_B.png,2,17,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0256_shoreline_2.txt
mombasa_1994_RGB_0000_0256_fake_B.png,3,23,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0256_shoreline_3.txt
mombasa_1994_RGB_0000_0256_fake_B.png,4,495,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0256_shoreline_4.txt
mombasa_1994_RGB_0000_0512_fake_B.png,0,204,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0512_shoreline_0.txt
mombasa_1994_RGB_0000_0768_fake_B.png,0,190,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_0768_shoreline_0.txt
mombasa_1994_RGB_0000_1024_fake_B.png,0,17,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_0.txt
mombasa_1994_RGB_0000_1024_fake_B.png,1,17,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_1.txt
mombasa_1994_RGB_0000_1024_fake_B.png,2,50,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_2.txt
mombasa_1994_RGB_0000_1024_fake_B.png,3,139,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_3.txt
mombasa_1994_RGB_0000_1024_fake_B.png,4,119,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_4.txt
mombasa_1994_RGB_0000_1024_fake_B.png,5,29,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_5.txt
mombasa_1994_RGB_0000_1024_fake_B.png,6,45,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_6.txt
mombasa_1994_RGB_0000_1024_fake_B.png,7,19,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_7.txt
mombasa_1994_RGB_0000_1024_fake_B.png,8,22,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_8.txt
mombasa_1994_RGB_0000_1024_fake_B.png,9,63,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_9.txt
mombasa_1994_RGB_0000_1024_fake_B.png,10,315,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_10.txt
mombasa_1994_RGB_0000_1024_fake_B.png,11,20,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_11.txt
mombasa_1994_RGB_0000_1024_fake_B.png,12,87,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0000_1024_shoreline_12.txt
mombasa_1994_RGB_0256_0000_fake_B.png,0,244,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_0000_shoreline_0.txt
mombasa_1994_RGB_0256_0256_fake_B.png,0,219,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_0256_shoreline_0.txt
mombasa_1994_RGB_0256_0512_fake_B.png,0,4,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_0512_shoreline_0.txt
mombasa_1994_RGB_0256_0768_fake_B.png,0,16,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_0768_shoreline_0.txt
mombasa_1994_RGB_0256_0768_fake_B.png,1,148,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_0768_shoreline_1.txt
mombasa_1994_RGB_0256_1024_fake_B.png,0,27,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_0.txt
mombasa_1994_RGB_0256_1024_fake_B.png,1,29,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_1.txt
mombasa_1994_RGB_0256_1024_fake_B.png,2,18,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_2.txt
mombasa_1994_RGB_0256_1024_fake_B.png,3,28,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_3.txt
mombasa_1994_RGB_0256_1024_fake_B.png,4,34,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_4.txt
mombasa_1994_RGB_0256_1024_fake_B.png,5,21,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_5.txt
mombasa_1994_RGB_0256_1024_fake_B.png,6,108,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_6.txt
mombasa_1994_RGB_0256_1024_fake_B.png,7,15,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_7.txt
mombasa_1994_RGB_0256_1024_fake_B.png,8,216,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_8.txt
mombasa_1994_RGB_0256_1024_fake_B.png,9,364,C:\Users\Wakine\Pictures\project wd\Shoreline_Extraction_GAN-main\model_outputs\processed\Mombasa_2004\shorelines\mombasa_1994_RGB_0256_1024_shoreline_9.txt
