transect_id,year,position,type
0,1994,0.0477818263024291,historical
0,2004,0.0477818263024291,historical
0,2014,0.0477818263024291,historical
0,2024,0.0477818263024291,historical
1,1994,1.0568497378655808,historical
1,2004,1.0568497378655808,historical
1,2014,1.0568497378655808,historical
1,2024,1.0568497378655808,historical
2,1994,0.0,historical
2,2004,0.0,historical
2,2014,0.0,historical
2,2024,0.0,historical
3,1994,0.0489635154108433,historical
3,2004,0.0489635154108433,historical
3,2014,0.0489635154108433,historical
3,2024,0.0489635154108433,historical
4,1994,0.0942374107092062,historical
4,2004,0.0942374107092062,historical
4,2014,0.0942374107092062,historical
4,2024,0.0942374107092062,historical
5,1994,0.3618944868353199,historical
5,2004,0.3618944868353199,historical
5,2014,0.3618944868353199,historical
5,2024,0.3618944868353199,historical
6,1994,0.3464405489533745,historical
6,2004,0.3464405489533745,historical
6,2014,0.3464405489533745,historical
6,2024,0.3464405489533745,historical
7,1994,29.822469805383854,historical
7,2004,29.822469805383854,historical
7,2014,29.822469805383854,historical
7,2024,29.822469805383854,historical
8,1994,22.047844585188653,historical
8,2004,22.047844585188653,historical
8,2014,22.047844585188653,historical
8,2024,22.047844585188653,historical
9,1994,1.0536868443300451,historical
9,2004,1.0536868443300451,historical
9,2014,1.0536868443300451,historical
9,2024,1.0536868443300451,historical
10,1994,28.63806261739047,historical
10,2004,28.63806261739047,historical
10,2014,28.63806261739047,historical
10,2024,28.63806261739047,historical
11,1994,49.04807028025981,historical
11,2004,49.04807028025981,historical
11,2014,49.04807028025981,historical
11,2024,49.04807028025981,historical
12,1994,0.1193450543353522,historical
12,2004,0.1193450543353522,historical
12,2014,0.1193450543353522,historical
12,2024,0.1193450543353522,historical
13,1994,0.2194359465098499,historical
13,2004,0.2194359465098499,historical
13,2014,0.2194359465098499,historical
13,2024,0.2194359465098499,historical
14,1994,0.7038455486977039,historical
14,2004,0.7038455486977039,historical
14,2014,0.7038455486977039,historical
14,2024,0.7038455486977039,historical
15,1994,0.373348885818715,historical
15,2004,0.373348885818715,historical
15,2014,0.373348885818715,historical
15,2024,0.373348885818715,historical
16,1994,103.45977130679032,historical
16,2004,103.45977130679032,historical
16,2014,103.45977130679032,historical
16,2024,103.45977130679032,historical
17,1994,119.34915381524756,historical
17,2004,119.34915381524756,historical
17,2014,119.34915381524756,historical
17,2024,119.34915381524756,historical
18,1994,112.28978632884454,historical
18,2004,112.28978632884454,historical
18,2014,112.28978632884454,historical
