LSTM SHORELINE FORECAST SUMMARY
============================================================

Model: Linear Regression
Transects: 62
Historical: [1994, 2004, 2014, 2024]
Forecast: [2034, 2044]

     transect_id  year     position        type
0              0  1994     0.047782  historical
1              0  2004     0.047782  historical
2              0  2014     0.047782  historical
3              0  2024     0.047782  historical
4              1  1994     1.056850  historical
5              1  2004     1.056850  historical
6              1  2014     1.056850  historical
7              1  2024     1.056850  historical
8              2  1994     0.000000  historical
9              2  2004     0.000000  historical
10             2  2014     0.000000  historical
11             2  2024     0.000000  historical
12             3  1994     0.048964  historical
13             3  2004     0.048964  historical
14             3  2014     0.048964  historical
15             3  2024     0.048964  historical
16             4  1994     0.094237  historical
17             4  2004     0.094237  historical
18             4  2014     0.094237  historical
19             4  2024     0.094237  historical
20             5  1994     0.361894  historical
21             5  2004     0.361894  historical
22             5  2014     0.361894  historical
23             5  2024     0.361894  historical
24             6  1994     0.346441  historical
25             6  2004     0.346441  historical
26             6  2014     0.346441  historical
27             6  2024     0.346441  historical
28             7  1994    29.822470  historical
29             7  2004    29.822470  historical
30             7  2014    29.822470  historical
31             7  2024    29.822470  historical
32             8  1994    22.047845  historical
33             8  2004    22.047845  historical
34             8  2014    22.047845  historical
35             8  2024    22.047845  historical
36             9  1994     1.053687  historical
37             9  2004     1.053687  historical
38             9  2014     1.053687  historical
39             9  2024     1.053687  historical
40            10  1994    28.638063  historical
41            10  2004    28.638063  historical
42            10  2014    28.638063  historical
43            10  2024    28.638063  historical
44            11  1994    49.048070  historical
45            11  2004    49.048070  historical
46            11  2014    49.048070  historical
47            11  2024    49.048070  historical
48            12  1994     0.119345  historical
49            12  2004     0.119345  historical
50            12  2014     0.119345  historical
51            12  2024     0.119345  historical
52            13  1994     0.219436  historical
53            13  2004     0.219436  historical
54            13  2014     0.219436  historical
55            13  2024     0.219436  historical
56            14  1994     0.703846  historical
57            14  2004     0.703846  historical
58            14  2014     0.703846  historical
59            14  2024     0.703846  historical
60            15  1994     0.373349  historical
61            15  2004     0.373349  historical
62            15  2014     0.373349  historical
63            15  2024     0.373349  historical
64            16  1994   103.459771  historical
65            16  2004   103.459771  historical
66            16  2014   103.459771  historical
67            16  2024   103.459771  historical
68            17  1994   119.349154  historical
69            17  2004   119.349154  historical
70            17  2014   119.349154  historical
71            17  2024   119.349154  historical
72            18  1994   112.289786  historical
73            18  2004   112.289786  historical
74            18  2014   112.289786  historical
75            18  2024   112.289786  historical
76            19  1994     0.442005  historical
77            19  2004     0.442005  historical
78            19  2014     0.442005  historical
79            19  2024     0.442005  historical
80            20  1994    50.240532  historical
81            20  2004    50.240532  historical
82            20  2014    50.240532  historical
83            20  2024    50.240532  historical
84            21  1994    21.828823  historical
85            21  2004    21.828823  historical
86            21  2014    21.828823  historical
87            21  2024    21.828823  historical
88            22  1994    62.402634  historical
89            22  2004    62.402634  historical
90            22  2014    62.402634  historical
91            22  2024    62.402634  historical
92            23  1994    55.066173  historical
93            23  2004    55.066173  historical
94            23  2014    55.066173  historical
95            23  2024    55.066173  historical
96            24  1994    46.257997  historical
97            24  2004    46.257997  historical
98            24  2014    46.257997  historical
99            24  2024    46.257997  historical
100           25  1994    80.555195  historical
101           25  2004    80.555195  historical
102           25  2014    80.555195  historical
103           25  2024    80.555195  historical
104           26  1994     0.092222  historical
105           26  2004     0.092222  historical
106           26  2014     0.092222  historical
107           26  2024     0.092222  historical
108           27  1994    44.385264  historical
109           27  2004    44.385264  historical
110           27  2014    44.385264  historical
111           27  2024    44.385264  historical
112           28  1994    64.330030  historical
113           28  2004    64.330030  historical
114           28  2014    64.330030  historical
115           28  2024    64.330030  historical
116           29  1994    53.213113  historical
117           29  2004    53.213113  historical
118           29  2014    53.213113  historical
119           29  2024    53.213113  historical
120           30  1994     0.629301  historical
121           30  2004     0.629301  historical
122           30  2014     0.629301  historical
123           30  2024     0.629301  historical
124           31  1994     1.305635  historical
125           31  2004     1.305635  historical
126           31  2014     1.305635  historical
127           31  2024     1.305635  historical
128           32  1994    97.261440  historical
129           32  2004    97.261440  historical
130           32  2014    97.261440  historical
131           32  2024    97.261440  historical
132           33  1994    94.219029  historical
133           33  2004    94.219029  historical
134           33  2014    94.219029  historical
135           33  2024    94.219029  historical
136           34  1994    91.385481  historical
137           34  2004    91.385481  historical
138           34  2014    91.385481  historical
139           34  2024    91.385481  historical
140           35  1994     0.545902  historical
141           35  2004     0.545902  historical
142           35  2014     0.545902  historical
143           35  2024     0.545902  historical
144           36  1994     9.076231  historical
145           36  2004     9.076231  historical
146           36  2014     9.076231  historical
147           36  2024     9.076231  historical
148           37  1994   124.760672  historical
149           37  2004   124.760672  historical
150           37  2014   124.760672  historical
151           37  2024   124.760672  historical
152           38  1994   126.989480  historical
153           38  2004   126.989480  historical
154           38  2014   126.989480  historical
155           38  2024   126.989480  historical
156           39  1994    70.198798  historical
157           39  2004    70.198798  historical
158           39  2014    70.198798  historical
159           39  2024    70.198798  historical
160           40  1994    96.969536  historical
161           40  2004    96.969536  historical
162           40  2014    96.969536  historical
163           40  2024    96.969536  historical
164           41  1994   111.194687  historical
165           41  2004   111.194687  historical
166           41  2014   111.194687  historical
167           41  2024   111.194687  historical
168           42  1994     0.061944  historical
169           42  2004     0.061944  historical
170           42  2014     0.061944  historical
171           42  2024     0.061944  historical
172           43  1994     0.163461  historical
173           43  2004     0.163461  historical
174           43  2014     0.163461  historical
175           43  2024     0.163461  historical
176           44  1994     0.771058  historical
177           44  2004     0.771058  historical
178           44  2014     0.771058  historical
179           44  2024     0.771058  historical
180           45  1994     0.548859  historical
181           45  2004     0.548859  historical
182           45  2014     0.548859  historical
183           45  2024     0.548859  historical
184           46  1994     0.963275  historical
185           46  2004     0.963275  historical
186           46  2014     0.963275  historical
187           46  2024     0.963275  historical
188           47  1994     0.600126  historical
189           47  2004     0.600126  historical
190           47  2014     0.600126  historical
191           47  2024     0.600126  historical
192           48  1994    63.447886  historical
193           48  2004    63.447886  historical
194           48  2014    63.447886  historical
195           48  2024    63.447886  historical
196           49  1994   109.357962  historical
197           49  2004   109.357962  historical
198           49  2014   109.357962  historical
199           49  2024   109.357962  historical
200           50  1994   100.958674  historical
201           50  2004   100.958674  historical
202           50  2014   100.958674  historical
203           50  2024   100.958674  historical
204           51  1994   106.547848  historical
205           51  2004   106.547848  historical
206           51  2014   106.547848  historical
207           51  2024   106.547848  historical
208           52  1994     0.293969  historical
209           52  2004     0.293969  historical
210           52  2014     0.293969  historical
211           52  2024     0.293969  historical
212           53  1994     0.137456  historical
213           53  2004     0.137456  historical
214           53  2014     0.137456  historical
215           53  2024     0.137456  historical
216           54  1994    37.391560  historical
217           54  2004    37.391560  historical
218           54  2014    37.391560  historical
219           54  2024    37.391560  historical
220           55  1994     0.472832  historical
221           55  2004     0.472832  historical
222           55  2014     0.472832  historical
223           55  2024     0.472832  historical
224           56  1994    55.446634  historical
225           56  2004    55.446634  historical
226           56  2014    55.446634  historical
227           56  2024    55.446634  historical
228           57  1994   105.199570  historical
229           57  2004   105.199570  historical
230           57  2014   105.199570  historical
231           57  2024   105.199570  historical
232           58  1994    95.978359  historical
233           58  2004    95.978359  historical
234           58  2014    95.978359  historical
235           58  2024    95.978359  historical
236           59  1994   121.546587  historical
237           59  2004   121.546587  historical
238           59  2014   121.546587  historical
239           59  2024   121.546587  historical
240           60  1994   119.984402  historical
241           60  2004   119.984402  historical
242           60  2014   119.984402  historical
243           60  2024   119.984402  historical
244           61  1994   123.983920  historical
245           61  2004   123.983920  historical
246           61  2014   123.983920  historical
247           61  2024   123.983920  historical
248            0  2034    47.642998    forecast
249            1  2034    94.504539    forecast
250            2  2034    45.423992    forecast
251            3  2034    47.697876    forecast
252            4  2034    49.800415    forecast
253            5  2034    62.230522    forecast
254            6  2034    61.512833    forecast
255            7  2034  1430.391968    forecast
256            8  2034  1069.335083    forecast
257            9  2034    94.357651    forecast
258           10  2034  1375.387695    forecast
259           11  2034  2323.237061    forecast
260           12  2034    50.966427    forecast
261           13  2034    55.614689    forecast
262           14  2034    78.110878    forecast
263           15  2034    62.762470    forecast
264           16  2034  4850.139160    forecast
265           17  2034  5588.048340    forecast
266           18  2034  5260.208984    forecast
267           19  2034    65.950890    forecast
268           20  2034  2378.615479    forecast
269           21  2034  1059.163696    forecast
270           22  2034  2943.428711    forecast
271           23  2034  2602.720459    forecast
272           24  2034  2193.664795    forecast
273           25  2034  3786.441406    forecast
274           26  2034    49.706814    forecast
275           27  2034  2106.694580    forecast
276           28  2034  3032.937744    forecast
277           29  2034  2516.663330    forecast
278           30  2034    74.648987    forecast
279           31  2034   106.058243    forecast
280           32  2034  4562.286133    forecast
281           33  2034  4420.995117    forecast
282           34  2034  4289.404297    forecast
283           35  2034    70.775902    forecast
284           36  2034   466.927979    forecast
285           37  2034  5839.361816    forecast
286           38  2034  5942.868164    forecast
287           39  2034  3305.485840    forecast
288           40  2034  4548.729980    forecast
289           41  2034  5209.352051    forecast
290           42  2034    48.300701    forecast
291           43  2034    53.015182    forecast
292           44  2034    81.232239    forecast
293           45  2034    70.913239    forecast
294           46  2034    90.158875    forecast
295           47  2034    73.294090    forecast
296           48  2034  2991.970459    forecast
297           49  2034  5124.053711    forecast
298           50  2034  4733.987305    forecast
299           51  2034  4993.550781    forecast
300           52  2034    59.076019    forecast
301           53  2034    51.807518    forecast
302           54  2034  1781.903687    forecast
303           55  2034    67.382484    forecast
304           56  2034  2620.388916    forecast
305           57  2034  4930.936035    forecast
306           58  2034  4502.698730    forecast
307           59  2034  5690.098145    forecast
308           60  2034  5617.549805    forecast
309           61  2034  5803.289062    forecast
310            0  2044    47.642998    forecast
311            1  2044    94.504539    forecast
312            2  2044    45.423992    forecast
313            3  2044    47.697876    forecast
314            4  2044    49.800415    forecast
315            5  2044    62.230522    forecast
316            6  2044    61.512833    forecast
317            7  2044  1430.391968    forecast
318            8  2044  1069.335083    forecast
319            9  2044    94.357651    forecast
320           10  2044  1375.387695    forecast
321           11  2044  2323.237061    forecast
322           12  2044    50.966427    forecast
323           13  2044    55.614689    forecast
324           14  2044    78.110878    forecast
325           15  2044    62.762470    forecast
326           16  2044  4850.139160    forecast
327           17  2044  5588.048340    forecast
328           18  2044  5260.208984    forecast
329           19  2044    65.950890    forecast
330           20  2044  2378.615479    forecast
331           21  2044  1059.163696    forecast
332           22  2044  2943.428711    forecast
333           23  2044  2602.720459    forecast
334           24  2044  2193.664795    forecast
335           25  2044  3786.441406    forecast
336           26  2044    49.706814    forecast
337           27  2044  2106.694580    forecast
338           28  2044  3032.937744    forecast
339           29  2044  2516.663330    forecast
340           30  2044    74.648987    forecast
341           31  2044   106.058243    forecast
342           32  2044  4562.286133    forecast
343           33  2044  4420.995117    forecast
344           34  2044  4289.404297    forecast
345           35  2044    70.775902    forecast
346           36  2044   466.927979    forecast
347           37  2044  5839.361816    forecast
348           38  2044  5942.868164    forecast
349           39  2044  3305.485840    forecast
350           40  2044  4548.729980    forecast
351           41  2044  5209.352051    forecast
352           42  2044    48.300701    forecast
353           43  2044    53.015182    forecast
354           44  2044    81.232239    forecast
355           45  2044    70.913239    forecast
356           46  2044    90.158875    forecast
357           47  2044    73.294090    forecast
358           48  2044  2991.970459    forecast
359           49  2044  5124.053711    forecast
360           50  2044  4733.987305    forecast
361           51  2044  4993.550781    forecast
362           52  2044    59.076019    forecast
363           53  2044    51.807518    forecast
364           54  2044  1781.903687    forecast
365           55  2044    67.382484    forecast
366           56  2044  2620.388916    forecast
367           57  2044  4930.936035    forecast
368           58  2044  4502.698730    forecast
369           59  2044  5690.098145    forecast
370           60  2044  5617.549805    forecast
371           61  2044  5803.289062    forecast
